agente 1,tipo de relación,descriptor de relación,agente 2,activo,se muestra
Daniel Hoyos,persona - organización,Candidato a la Alcaldia de Granada,Alcaldia de Granada,TRUE,FALSE
Carlos Yepes,persona - organización,Fundador,Amen Comunicaciones,TRUE,FALSE
Luis Miguel López Aristizábal,persona - organización,Representante a la Cámara,Camara de Representantes de Colombia,TRUE,TRUE
Carlos Yepes,persona - organización,Youtuber,Canal Padre Carlos Yepes,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - persona,Oficio Misa Funeraria de su Padre,Carlos Yepes,TRUE,TRUE
Wilson Andrés Tamayo Zuluaga,persona - persona,Oficio su Matrimonio,Carlos Yepes,TRUE,TRUE
Luis Miguel López Aristizábal,persona - organización,Miembro Junta Directiva,Central Mayorista,FALSE,TRUE
Corporación Sapiencia,organización - organización,Dueña,Colegio Sapiencia,TRUE,FALSE
Héctor David Giraldo Herrera,persona - organización,Consejo de Administración,Corporación Sapiencia,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - organización,Consejo de Administración,Corporación Sapiencia,TRUE,TRUE
Ruth Josefina Zapata M.,persona - organización,Revisora fiscal,Corporación Sapiencia,TRUE,FALSE
Santiago Correa Arboleda,persona - organización,Representante legal,Corporación Sapiencia,TRUE,TRUE
Wilson Andrés Tamayo Zuluaga,persona - organización,Consejo de Administración,Corporación Sapiencia,TRUE,TRUE
Maria Oliva Yepes,persona - organización,Director general,Discípulos Misiones del Inmaculado Corazón de María,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - organización,Miembro Junta Directiva,Fundación Conciudadanos,FALSE,TRUE
Luis Miguel López Aristizábal,persona - organización,Director general,Fundación Conciudadanos,FALSE,TRUE
Édison de Jesús Zuluaga Giraldo,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
Elkin Darío Gómez Aristizábal,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
Francisco Javier Giraldo Giraldo,persona - organización,Suplentes junta directiva,Fundación Corazón de Belén,TRUE,FALSE
Fundación Lazos de ayuda al mundo,organización - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,TRUE
Gonzalo Andrés Giraldo Duque,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,TRUE
Leidy Marcela Aristizabal Zuluaga,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
María Yolanda Giraldo Giraldo,persona - organización,Principales junta directiva,Fundación Corazón de Belén,TRUE,FALSE
Mauricio Alberto Alzate Grijalba,persona - organización,Principales junta directiva,Fundación Corazón de Belén,TRUE,FALSE
Nelson Eugenio Hoyos Giraldo,persona - organización,Suplentes junta directiva,Fundación Corazón de Belén,TRUE,FALSE
Oscar de Jesús Giraldo,persona - organización,Principales junta directiva,Fundación Corazón de Belén,TRUE,FALSE
Paola Andrea Chinchajoa Ospitia,persona - organización,Revisora fiscal,Fundación Corazón de Belén,TRUE,FALSE
Santiago Correa Arboleda,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,TRUE
Wilder Hugo Guerra Giraldo,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
Wilder Hugo Guerra Giraldo,persona - organización,Representante legal,Fundación Corazón de Belén,TRUE,FALSE
William Alfredo Aristizabal Hoyos,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,FALSE
Wilson Andrés Tamayo Zuluaga,persona - organización,Socios Fundadores,Fundación Corazón de Belén,TRUE,TRUE
Yolanda Posada Delgado,persona - organización,Suplente revisor fiscal,Fundación Corazón de Belén,TRUE,FALSE
Yudi Giraldo Giraldo,persona - organización,Tesorera,Fundación Corazón de Belén,TRUE,FALSE
Carlos Alberto Hernández Quiceno,persona - organización,Provincia Bogotá,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Edwin Ancizar Aristizábal López,persona - organización,Fiscal,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Fredy Armando Giraldo Giraldo,persona - organización,Provincia otros Países,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Héctor David Giraldo Herrera,persona - organización,Provincia Medellín,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Javier Darío Hoyos Yepes,persona - organización,Provincia Barranquilla,Fundación Lazos de ayuda al mundo,TRUE,FALSE
John Fredy Ossa Salazar,persona - organización,Vocal,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - organización,Director general,Fundación Lazos de ayuda al mundo,TRUE,TRUE
Ruth Josefina Zapata M.,persona - organización,Revisora fiscal,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Santiago Correa Arboleda,persona - organización,Secretario general,Fundación Lazos de ayuda al mundo,TRUE,TRUE
Sergio Andrés Jiménez Quintero,persona - organización,Provincia Bucaramanga,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Wilder Hugo Guerra Giraldo,persona - organización,Provincia Cali,Fundación Lazos de ayuda al mundo,TRUE,FALSE
Wilson Andrés Tamayo Zuluaga,persona - organización,Subdirector general,Fundación Lazos de ayuda al mundo,TRUE,TRUE
Luis Miguel López Aristizábal,persona - organización,Gerente general,Grupo de Comercializadores de Colombia,FALSE,TRUE
Alfonso López Serna,persona - organización,Presbítero,Iglesia Católica,TRUE,FALSE
Carlos Yepes,persona - organización,Padre,Iglesia Católica,FALSE,TRUE
Padre Guillermo Gil,persona - organización,Padre,Iglesia Católica,TRUE,FALSE
Padre Joaquín,persona - organización,Padre,Iglesia Católica,TRUE,FALSE
Padre Rufino,persona - organización,Padre,Iglesia Católica,TRUE,FALSE
Ricardo Tobón,persona - organización,Arzobispo de Medellín,Iglesia Católica,TRUE,FALSE
Óscar Mauricio Giraldo,persona - organización,Gerente general,Importadora ABBA,FALSE,TRUE
Alfonso López Serna,persona - organización,Asesor Espiritual,Lazos de amor mariano,TRUE,FALSE
Jose Rodrigo Jaramillo Fernández,persona - organización,Fundador,Lazos de amor mariano,TRUE,TRUE
Jose Rodrigo Jaramillo Fernández,persona - organización,Director general,Lazos de amor mariano,TRUE,TRUE
Maria Oliva Yepes,persona - organización,Fundador,Lazos de amor mariano,FALSE,FALSE
Wilson Andrés Tamayo Zuluaga,persona - organización,Subdirector general,Lazos de amor mariano,TRUE,TRUE
Sebastián Arboleda Pineda,persona - persona,Miembro de UTL,Luis Miguel López Aristizábal,TRUE,TRUE
Sebastián Arboleda Pineda,persona - persona,Miembro de UTL,Óscar Mauricio Giraldo,TRUE,TRUE
Luis Miguel López Aristizábal,persona - organización,Miembro Junta Directiva,Red Antioquia Provida,FALSE,FALSE
Óscar Mauricio Giraldo,persona - organización,Senador,Senado de la República de Colombia,TRUE,TRUE
Fundación Conciudadanos,organización - organización,Fundador,Unión Famila,TRUE,TRUE
Alfonso López Serna,persona - organización,Decano de Teologia,Universidad Pontificia Bolivariana,FALSE,FALSE
