circulos,tipo de relación,descriptores de relación
Política,organización - organización,Consejo de Administración
Comercio,persona - persona,Revisora fiscal
Iglesia Católica,persona - organización,Representante legal
Policia,,Director general
Medios,,Subdirector general
LAM,,Provincia Medellín
Educacion,,Secretario general
,,Provincia Cali
,,Fiscal
,,Provincia Barranquilla
,,Provincia Bogotá
,,Vocal
,,Provincia Bucaramanga
,,Provincia otros Países
,,Socios Fundadores
,,Revisora fiscal
,,Principales junta directiva
,,Suplentes junta directiva
,,Tesorera
,,Suplente revisor fiscal
,,Representante a la Cámara
,,Senador
,,Candidato a la Alcaldia de Granada
,,Gerente general
,,Miembro Junta Directiva
,,Padre
,,Fundador
,,Youtuber
,,Presbítero
,,Decano de Teologia
,,Asesor Espiritual
,,Oficio Misa Funeraria de su Padre
,,Oficio su Matrimonio
,,Arzobispo de Medellín
,,Dueña
,,Miembro de UTL
